USER_ID,LOGIN_TIMESTAMP,SESSION_ID,SESSION_SCORE
7207,2024-07-24 19:35:59,session_1,81.69513329946862
2020,2024-09-17 02:11:04,session_2,8.046700509724158
4103,2024-05-18 13:46:01,session_3,27.19586980131409
9672,2024-06-28 08:50:14,session_4,0.15585415180617845
19,2024-01-28 01:03:14,session_5,19.286376926738047
6889,2024-08-19 04:07:50,session_6,44.966374032809306
3624,2024-08-03 07:59:01,session_7,22.822506946751542
9215,2024-07-09 22:04:42,session_8,71.83599959114157
6425,2024-02-25 16:50:54,session_9,87.26337067258753
5505,2024-11-08 19:19:19,session_10,95.5578522989216
1747,2024-01-23 03:50:03,session_11,75.1247887554323
4350,2024-02-25 08:22:50,session_12,22.83550605683048
3557,2024-12-14 18:15:27,session_13,49.815824605135916
6109,2024-11-01 03:26:20,session_14,39.00809563620798
2777,2024-06-02 00:27:02,session_15,49.53854774553891
5308,2024-03-11 12:11:20,session_16,88.239773445149
3685,2024-07-07 21:59:24,session_17,49.313976335203726
8259,2024-06-28 12:25:38,session_18,99.65821400930216
5344,2024-03-26 01:44:50,session_19,86.54394631214875
8056,2024-07-12 22:09:38,session_20,17.26985554732994
5128,2024-05-25 11:29:00,session_21,92.08390556538522
1547,2024-04-22 04:44:50,session_22,54.48424544649508
6504,2024-07-25 16:34:19,session_23,57.767299099461454
7415,2025-01-25 16:22:16,session_24,94.24847993523223
2826,2024-03-16 17:22:33,session_25,97.25551434205781
4940,2024-01-01 23:09:44,session_26,15.374921767428207
7611,2024-04-23 08:14:49,session_27,68.73171823902977
6098,2024-09-13 01:28:04,session_28,34.420828719648135
3109,2024-12-25 03:47:10,session_29,90.64507410780068
6719,2024-11-02 11:47:33,session_30,90.97051032304367
7099,2024-05-26 18:22:10,session_31,85.3845767310425
7107,2024-06-25 13:28:05,session_32,59.340706797259124
5631,2024-02-10 03:44:36,session_33,52.7659907254313
8191,2025-01-25 19:15:41,session_34,34.188852397046844
3137,2024-10-23 01:52:46,session_35,82.22278979313032
2336,2024-04-27 16:19:32,session_36,56.487481304564625
3723,2024-02-02 18:00:02,session_37,52.04600118656171
6974,2024-06-18 18:51:01,session_38,35.80813581910935
6443,2024-01-01 04:16:51,session_39,73.09551900160696
9021,2024-03-08 23:47:00,session_40,36.10569299108403
8557,2024-10-18 03:05:57,session_41,79.70752136641067
7809,2025-01-03 14:13:55,session_42,42.045663854952274
6537,2024-02-24 06:58:58,session_43,35.35440340213577
4223,2024-04-04 08:39:11,session_44,95.56791061311846
5768,2024-05-19 03:24:27,session_45,54.27214754242482
6306,2025-01-29 14:15:56,session_46,22.175697168399477
7608,2024-06-11 18:48:23,session_47,25.58683175063895
9188,2024-01-17 18:42:54,session_48,25.477218135526382
5207,2024-01-20 09:28:43,session_49,51.17299419574994
7211,2024-08-19 14:47:50,session_50,75.63084629066074
3897,2024-06-23 11:58:04,session_51,59.03483335022983
1912,2024-08-27 05:12:41,session_52,25.52827885594042
3301,2024-04-27 05:09:16,session_53,79.59589581290007
4603,2025-01-30 02:37:30,session_54,91.76284117685569
5720,2024-02-27 03:18:08,session_55,47.010664635336795
3706,2024-04-12 15:32:00,session_56,65.63254785813326
907,2024-05-25 04:30:33,session_57,63.495807020631844
9944,2024-12-30 07:24:01,session_58,99.30100062480128
7743,2024-07-15 05:25:31,session_59,28.95913747684242
586,2024-03-03 07:36:23,session_60,18.788942472213897
9223,2024-07-28 10:31:10,session_61,89.42660141393932
3589,2024-03-15 20:42:33,session_62,39.11087043572107
8481,2024-02-29 22:15:03,session_63,7.586368781005481
1447,2024-05-29 14:27:26,session_64,82.96746318563724
7905,2024-12-16 10:06:11,session_65,31.07785280150135
2669,2025-01-05 00:30:36,session_66,67.2859330463078
356,2024-08-05 13:27:13,session_67,72.99315099709824
272,2025-02-18 04:05:44,session_68,18.82889447315692
2107,2025-01-18 23:53:48,session_69,64.93079193763046
6902,2024-09-05 17:01:26,session_70,73.56026564389715
3962,2024-12-29 18:06:07,session_71,72.88410398783736
7406,2024-08-04 17:44:05,session_72,98.58562865999968
9352,2024-08-17 01:59:48,session_73,27.50913167716592
2075,2024-02-29 09:01:52,session_74,95.30464784640188
8461,2024-09-26 14:01:09,session_75,6.423753765768414
5591,2025-02-02 09:38:35,session_76,50.456723326288966
6931,2024-06-04 22:14:54,session_77,95.12075735547393
689,2025-02-02 14:13:46,session_78,58.29530283450325
5730,2024-07-14 13:16:32,session_79,74.06130129666106
2626,2024-03-02 16:57:40,session_80,4.531689537703787
5648,2024-02-18 13:56:13,session_81,58.61247151756146
9007,2024-10-06 23:34:03,session_82,32.382879233607234
349,2024-10-14 17:39:10,session_83,27.532192886438278
7823,2024-01-22 12:17:34,session_84,78.27816411979829
2565,2024-08-01 06:05:39,session_85,9.008905864886597
4961,2025-02-13 20:45:09,session_86,82.55581098636425
6105,2024-08-08 23:48:22,session_87,2.3496969038888316
3429,2024-02-22 16:33:14,session_88,92.0299438168062
8844,2024-02-04 15:06:36,session_89,74.20030116033679
4098,2024-04-23 23:21:29,session_90,86.15345473216385
5466,2024-05-24 21:01:42,session_91,11.163052338881451
4271,2024-03-28 11:04:33,session_92,56.872807549938976
6567,2024-11-16 10:06:46,session_93,21.96989968348637
6245,2024-10-31 04:22:09,session_94,61.097228243790525
8625,2025-01-06 03:14:38,session_95,69.65756905726408
1622,2025-02-20 15:43:25,session_96,67.58233095156896
297,2024-09-15 10:05:57,session_97,75.07622129744261
9887,2024-01-06 18:45:32,session_98,62.26368903316446
3306,2024-07-13 19:10:31,session_99,21.323087261661865
4249,2024-08-22 22:00:17,session_100,6.866348697838598
1539,2024-09-22 20:51:27,session_101,87.40808062345853
3040,2024-11-20 11:40:11,session_102,11.989617512138262
4722,2024-09-14 02:20:02,session_103,98.01591422060342
2290,2024-02-15 18:41:42,session_104,93.63220715321162
664,2024-05-08 01:10:35,session_105,61.26659127879239
9639,2025-02-02 19:14:27,session_106,31.756613515423805
7339,2024-02-15 07:13:15,session_107,72.88581050077624
628,2024-11-06 20:43:24,session_108,62.39927877085035
1764,2024-08-05 19:34:30,session_109,11.596005048550351
5960,2024-05-05 19:04:01,session_110,72.55638291163622
691,2024-10-15 06:57:31,session_111,6.179906401425706
9661,2024-04-20 08:57:25,session_112,64.72133523552328
1731,2024-07-08 12:43:44,session_113,99.26250062716001
8757,2024-05-10 10:39:47,session_114,20.061197511024552
3098,2024-08-07 18:56:21,session_115,71.50467314914559
2190,2024-12-08 14:28:34,session_116,47.88547141392123
4186,2024-01-01 12:33:38,session_117,21.098882052259782
6303,2025-01-16 17:30:01,session_118,8.121569224539648
4865,2025-03-04 06:19:19,session_119,9.027510389721872
1037,2024-10-13 19:24:27,session_120,95.29242206215899
9612,2024-06-20 14:42:40,session_121,79.24547403036199
1508,2024-10-28 22:11:21,session_122,21.280292449068362
379,2024-10-10 16:58:14,session_123,38.674424771713554
135,2024-03-19 07:46:15,session_124,4.639810148519807
590,2024-07-24 22:37:39,session_125,88.61885753053626
5612,2025-01-03 16:29:32,session_126,94.04269474090249
3742,2024-09-04 14:38:00,session_127,20.36804275336076
9044,2024-10-21 01:43:48,session_128,58.36270881002057
3511,2024-08-22 19:50:58,session_129,24.708811177421186
1692,2024-03-16 22:32:10,session_130,19.069806588150172
1343,2024-12-24 08:09:01,session_131,74.21209964380205
4055,2024-11-13 07:36:03,session_132,21.97653836813187
7796,2024-03-17 23:50:55,session_133,44.36070718896807
6024,2024-10-19 11:28:59,session_134,6.844590570750175
1126,2024-12-26 14:16:40,session_135,14.905160065979361
9398,2025-02-17 00:40:41,session_136,59.662410142481335
1162,2024-05-03 21:35:47,session_137,24.210937131197163
1734,2024-08-30 02:41:38,session_138,67.93861318591632
5985,2025-01-17 15:38:14,session_139,9.377733054441062
8013,2024-11-25 00:44:03,session_140,54.385138421767955
9203,2024-01-03 20:22:51,session_141,25.21845921061613
4326,2024-01-23 08:58:27,session_142,72.38017169038903
6170,2024-05-14 07:23:58,session_143,39.351098974325815
6980,2024-09-14 12:31:52,session_144,1.5595690597145384
6944,2024-07-31 02:35:11,session_145,94.27913950152809
1193,2024-12-25 09:30:18,session_146,38.36682239767805
2750,2024-01-03 13:08:13,session_147,82.4165693479564
4833,2024-06-12 18:16:57,session_148,5.009042467449243
2920,2025-02-25 23:07:06,session_149,5.659360415262061
5312,2024-03-06 06:19:13,session_150,26.69316430501414
3671,2024-01-01 03:47:52,session_151,95.61912652217441
555,2024-11-25 04:59:12,session_152,65.7523176826158
4328,2024-06-07 01:49:15,session_153,30.267731993914204
8962,2024-04-14 17:50:51,session_154,18.163318112014558
7603,2024-06-04 14:40:45,session_155,13.71942508943288
224,2024-07-13 12:13:04,session_156,73.06800432459617
5460,2024-12-21 01:10:06,session_157,72.21568712682334
6956,2024-08-21 08:36:47,session_158,50.6401177901177
525,2024-12-11 09:49:08,session_159,96.20691003418665
9670,2025-03-02 12:59:03,session_160,37.84388088253928
9941,2024-12-23 11:44:51,session_161,23.232062211631987
8297,2024-05-03 12:23:19,session_162,77.24797366961226
4773,2024-02-05 05:37:22,session_163,55.89643742255329
4875,2024-07-05 12:33:16,session_164,96.87844201431015
6077,2024-03-02 05:40:23,session_165,91.16256246762
6600,2024-07-30 17:06:11,session_166,30.688029943885454
5779,2024-08-04 23:51:54,session_167,90.75510357914727
2753,2024-04-28 17:20:46,session_168,77.94752516851506
8461,2024-07-11 22:24:18,session_169,66.97599558520857
